0.0_t	0.0_f	0.0_t	0.0_f	0.0_t	0.0_f	
26.45304	1869.8810	26.45304	1865.2200	26.45304	1867.7410	
26.52755	1865.7590	26.52755	1872.3070	26.52755	1868.7610	
26.60207	1869.7380	26.60207	1873.9610	26.60207	1870.8410	
26.67658	1870.7420	26.67658	1862.3800	26.67658	1867.0230	
26.75110	1867.2380	26.75110	1869.6460	26.75110	1870.4320	
26.82562	1871.3060	26.82562	1857.9990	26.82562	1866.6860	
26.90013	1870.7990	26.90013	1870.7630	26.90013	1864.9100	
26.97465	1861.1580	26.97465	1860.2550	26.97465	1864.6120	
27.04916	1874.9150	27.04916	1870.9510	27.04916	1865.8700	
27.12368	1874.1130	27.12368	1865.8940	27.12368	1872.8580	
27.19819	1870.8170	27.19819	1871.0850	27.19819	1862.0850	
27.27271	1871.4760	27.27271	1873.2910	27.27271	1873.0340	
27.34723	1869.6640	27.34723	1866.2750	27.34723	1861.8580	
27.42174	1875.3470	27.42174	1867.5510	27.42174	1870.7750	
27.49626	1863.3630	27.49626	1861.7150	27.49626	1873.8330	
27.57077	1869.7530	27.57077	1858.6730	27.57077	1865.5960	
27.64529	1861.1760	27.64529	1868.4270	27.64529	1859.4890	
27.71980	1871.3620	27.71980	1874.1790	27.71980	1864.9400	
27.79432	1870.5220	27.79432	1870.4860	27.79432	1865.4320	
27.86883	1874.3900	27.86883	1866.5790	27.86883	1867.0530	
27.94335	1871.5530	27.94335	1865.9140	27.94335	1864.2220	
28.01787	1867.0980	28.01787	1862.8660	28.01787	1863.8340	
28.09238	1867.0050	28.09238	1870.0480	28.09238	1862.8180	
28.16690	1873.8450	28.16690	1865.8070	28.16690	1861.8550	
28.24141	1862.9430	28.24141	1867.1690	28.24141	1872.5600	
28.31593	1866.2840	28.31593	1864.7280	28.31593	1866.0900	
28.39044	1869.2340	28.39044	1871.9700	28.39044	1864.3380	
28.46496	1867.2700	28.46496	1869.2460	28.46496	1864.8360	
28.53947	1869.4310	28.53947	1864.0190	28.53947	1863.9770	
28.61399	1863.1460	28.61399	1868.1970	28.61399	1871.1860	
28.68851	1873.1530	28.68851	1864.4630	28.68851	1858.7710	
28.76302	1871.0110	28.76302	1866.3500	28.76302	1863.1850	
28.83754	1871.7500	28.83754	1862.4130	28.83754	1861.7570	
28.91205	1870.2390	28.91205	1866.9690	28.91205	1861.9240	
28.98657	1864.7610	28.98657	1868.6090	28.98657	1858.8600	
29.06108	1858.7410	29.06108	1857.7900	29.06108	1868.5760	
29.13560	1870.5220	29.13560	1864.0910	29.13560	1872.4710	
